City,CO,NO2,O3,SO2,PM2.5,PM10,overall_aqi
Athens-Clarke County unified government,247.0,3.9,55.79,0.29,3.83,8.74,47
Camarillo,230.31,4.28,49.35,0.22,2.16,3.23,41
Modesto,273.71,8.82,2.62,0.13,2.27,5.33,11
West Palm Beach,216.96,6.17,84.4,0.69,2.65,6.14,123
Paterson,363.83,25.02,49.35,5.31,11.17,17.83,41
Clovis,223.64,3.86,22.89,0.02,0.5,1.67,19
Seattle,694.28,41.81,0.09,2.33,16.63,24.33,52
Livermore,363.83,19.54,4.96,0.32,9.05,10.81,29
Providence,270.37,4.37,82.97,2.89,12.61,15.41,119
Daly City,447.27,45.24,5.45,5.96,12.12,14.35,56
Missoula,300.41,8.74,43.27,0.25,2.18,2.45,36
West Covina,320.44,25.02,30.76,0.98,5.8,11.16,31
Suffolk,236.99,3.86,84.4,0.63,2.01,7.84,123
Omaha,257.02,3.43,60.08,1.09,1.28,1.66,53
Troy,413.9,18.17,47.92,6.91,22.42,25.69,64
Newton,293.73,7.45,77.25,3.4,14.33,16.86,105
El Paso,327.11,8.31,26.82,0.85,8.08,26.7,26
Fort Smith,397.21,21.42,3.67,1.07,11.25,14.13,36
Riverview,260.35,1.84,68.67,0.6,3.42,3.66,80
Norwalk,487.33,44.55,41.84,10.97,19.58,27.63,58
Renton,741.01,45.24,0.06,4.77,21.12,27.9,61
Hawthorne,1148.22,64.43,1.88,7.75,40.18,57.19,99
Frederick,253.68,3.98,65.8,2.0,6.18,9.63,71
Vacaville,280.38,7.63,47.92,0.12,4.4,4.93,40
Chino,317.1,23.65,35.76,1.83,7.16,10.77,30
Anaheim,594.14,33.93,3.71,2.62,17.04,22.87,53
Laredo,383.85,7.97,58.65,3.07,21.48,22.83,62
Flint,273.71,5.44,58.65,0.47,5.66,5.9,49
El Cajon,410.56,21.25,7.87,1.16,6.0,9.38,26
Lorain,267.03,6.77,62.23,0.82,6.62,6.77,60
Johns Creek,247.0,2.74,63.66,0.26,3.85,8.22,64
Cicero,277.04,11.31,60.08,3.99,1.78,2.85,53
Rio Rancho,201.94,1.32,32.19,0.08,2.93,15.17,27
Atlanta,343.8,18.17,41.13,4.17,6.46,12.4,34
Waterbury,393.87,32.56,56.51,6.26,14.91,20.65,48
Concord,420.57,26.05,60.8,6.26,24.95,27.72,69
Marysville,333.79,16.97,23.25,0.13,3.6,4.87,21
South San Francisco,447.27,45.24,5.45,5.96,12.12,14.35,56
Portsmouth,230.31,15.42,50.07,2.59,0.97,1.37,42
Norwalk,487.33,44.55,41.84,10.97,19.58,27.63,58
Alhambra,387.19,33.59,11.98,1.62,7.61,16.66,41
Carson,1148.22,64.43,1.88,7.75,40.18,57.19,99
Everett,500.68,31.87,2.41,1.74,7.78,10.23,39
Citrus Heights,310.42,13.54,3.49,0.17,2.89,7.43,16
Decatur,267.03,3.38,57.94,0.83,8.9,9.94,49
North Little Rock,236.99,3.77,49.35,0.8,5.74,6.62,41
Atascocita,367.17,17.14,38.27,2.89,15.26,19.12,49
Erie,257.02,5.91,73.67,0.84,5.04,5.18,95
Fresno,413.9,16.45,0.84,0.81,6.04,8.77,20
Jacksonville,223.64,2.23,77.96,0.51,1.89,3.88,107
High Point,263.69,6.6,75.82,1.04,4.06,9.3,102
Pearland,460.63,22.96,32.9,2.68,14.32,18.61,46
Brownsville,420.57,17.65,44.7,7.99,15.66,18.85,50
Denton,307.08,11.31,39.34,1.21,13.95,15.72,45
Waterloo,247.0,3.51,62.23,1.36,0.89,1.15,60
San Bernardino,353.81,27.08,33.98,4.29,8.02,10.56,33
Mesquite,277.04,9.6,40.41,1.18,9.05,11.28,34
Sioux Falls,317.1,10.2,40.41,0.39,3.35,3.74,34
Charleston,233.65,3.77,76.53,5.9,2.3,3.35,103
Redwood City,487.33,37.36,0.18,1.77,11.33,16.68,46
Paradise,560.76,39.07,5.36,2.98,24.07,42.06,67
Upland,317.1,23.65,35.76,1.83,7.16,10.77,30
Paterson,363.83,25.02,49.35,5.31,11.17,17.83,41
Pasco,400.54,21.25,12.7,0.29,14.08,15.22,45
Lubbock,240.33,2.83,60.08,0.93,7.51,17.84,53
Oakland,353.81,25.36,17.52,5.25,6.51,8.23,31
Schenectady,350.48,13.37,50.78,1.74,15.99,18.33,51
Worcester,337.12,17.14,73.67,5.78,14.6,18.57,95
Cedar Park,233.65,1.08,59.37,0.26,17.71,18.5,54
Pembroke Pines,203.61,0.85,81.54,0.21,2.82,7.08,116
West Covina,320.44,25.02,30.76,0.98,5.8,11.16,31
Edmond,250.34,3.94,47.21,1.67,8.0,8.63,40
Columbia,233.65,1.56,67.23,0.12,2.44,6.73,75
Raleigh,307.08,11.48,51.5,1.34,5.1,10.13,43
Compton,1148.22,64.43,1.88,7.75,40.18,57.19,99
Evanston,257.02,7.54,65.8,3.87,1.0,1.86,71
Amarillo,223.64,1.67,72.24,0.73,6.26,14.5,91
Chesapeake,240.33,5.66,85.83,1.71,2.07,8.07,127
Glendale,600.82,47.3,3.93,3.4,17.58,33.98,59
Corona,594.14,30.5,1.95,1.67,19.05,25.86,57
Broken Arrow,270.37,11.82,31.11,1.59,8.03,9.31,26
Fort Lauderdale,233.65,6.6,82.25,1.82,3.79,9.11,118
Fayetteville,236.99,5.14,37.55,0.74,5.19,7.13,31
Hartford,453.95,38.04,52.21,7.33,19.19,25.11,57
Athens-Clarke County unified government,247.0,3.9,55.79,0.29,3.83,8.74,47
Warwick,230.31,12.68,56.51,2.95,0.97,1.58,47
Charlotte,283.72,7.54,42.92,2.56,6.6,12.46,36
Jersey City,413.9,33.24,40.41,8.58,12.23,19.46,41
Westminster,310.42,53.47,5.45,13.95,5.27,6.66,66
Long Beach,1134.87,50.04,1.02,6.2,34.24,46.27,87
Coral Springs,203.61,0.84,84.4,0.28,2.64,6.51,123
Lansing,263.69,4.2,60.8,0.27,5.45,5.6,55
Spokane Valley,554.09,35.99,5.81,0.79,15.39,18.99,49
Mayagüez,183.58,0.22,48.64,0.26,1.29,3.74,41
San Diego,640.87,33.59,3.8,2.27,13.43,19.93,43
Kalamazoo,267.03,4.03,57.94,0.23,4.82,5.17,49
O'Fallon,257.02,3.38,55.79,0.77,8.39,9.33,47
Chandler,854.49,40.1,5.45,3.37,22.32,31.87,63
Pine Hills,213.62,1.93,81.54,0.37,1.69,2.62,116
Tulsa,267.03,9.68,31.47,1.94,9.64,10.62,31
Hawthorne,1148.22,64.43,1.88,7.75,40.18,57.19,99
Portland,487.33,22.62,0.09,2.09,10.13,13.45,32
Tampa,240.33,5.23,73.67,1.36,3.27,5.5,95
New Haven,433.92,36.33,48.64,8.23,17.66,25.22,54
Chesapeake,240.33,5.66,85.83,1.71,2.07,8.07,127
Arlington,337.12,14.4,42.56,1.97,19.52,21.82,58
Sunrise Manor,560.76,39.07,5.36,2.98,24.07,42.06,67
Longmont,297.07,10.97,33.26,0.17,3.24,5.74,28
Macon,230.31,4.33,49.35,8.58,3.23,6.31,41
Arden-Arcade,574.11,23.31,0.32,1.06,11.81,16.82,38
Redlands,290.39,14.91,41.84,0.46,3.7,6.47,35
Anchorage,236.99,0.3,63.66,0.11,0.5,0.66,64
Missoula,300.41,8.74,43.27,0.25,2.18,2.45,36
Mobile,247.0,4.03,57.22,1.54,3.31,4.78,48
Elizabeth,330.45,19.71,55.79,4.41,9.44,14.96,47
Newton,293.73,7.45,77.25,3.4,14.33,16.86,105
Baton Rouge,263.69,7.37,30.76,2.38,6.65,8.41,26
Cincinnati,260.35,11.31,54.36,7.57,5.48,5.95,46
Longview,247.0,3.6,47.92,0.25,3.59,4.16,40
Santa Rosa,250.34,4.11,45.78,0.02,2.37,2.66,38
Fairfield,240.33,4.88,23.6,0.01,3.21,4.31,20
Centennial,377.18,16.62,14.66,0.65,5.58,8.04,20
Fremont,447.27,33.59,0.48,1.15,9.51,13.9,41
New Braunfels,273.71,10.28,58.65,2.18,17.94,19.2,55
Elk Grove,574.11,23.31,0.32,1.06,11.81,16.82,38
Norfolk,413.9,37.7,40.77,2.03,6.79,14.38,47
Pompano Beach,216.96,4.71,85.12,0.84,3.09,7.82,125
Redondo Beach,1148.22,64.43,1.88,7.75,40.18,57.19,99
Jackson,283.72,10.45,15.56,0.59,6.2,8.79,20
Saint Petersburg,660.9,48.67,0.01,91.55,11.95,16.44,76
Casas Adobes,427.25,16.62,28.61,1.01,12.23,27.21,39
Gilbert,494.0,25.02,11.62,0.95,8.83,15.36,31
Fargo,280.38,6.17,43.63,1.89,3.21,3.49,36
Kansas City,253.68,4.28,62.94,1.22,1.19,1.63,62
Berkeley,353.81,25.36,17.52,5.25,6.51,8.23,31
Santa Clara,627.52,52.09,0.22,2.09,13.98,18.78,65
Kansas City,253.68,4.28,62.94,1.22,1.19,1.63,62
Maple Grove,277.04,4.93,47.21,1.39,2.24,2.79,40
Lynchburg,263.69,3.86,69.38,1.37,5.64,11.08,82
Philadelphia,363.83,29.82,46.49,13.35,7.94,13.13,39
Seattle,694.28,41.81,0.09,2.33,16.63,24.33,52
Clearwater,216.96,1.59,75.1,1.33,3.69,7.35,100
Amarillo,223.64,1.67,72.24,0.73,6.26,14.5,91
Saint George,263.69,0.68,40.05,0.86,3.07,7.54,33
Appleton,240.33,1.18,69.38,0.16,0.5,0.62,82
Clarksville,250.34,6.08,53.64,5.25,6.55,7.37,45
Sioux City,270.37,4.5,49.35,0.21,1.48,1.67,41
Fall River,283.72,4.63,79.39,2.98,14.93,19.41,110
Vacaville,280.38,7.63,47.92,0.12,4.4,4.93,40
Columbus,250.34,7.2,60.8,1.43,3.44,3.7,55
Kalamazoo,267.03,4.03,57.94,0.23,4.82,5.17,49
Milpitas,447.27,33.59,0.48,1.15,9.51,13.9,41
Rockville,323.77,16.11,52.21,3.01,6.86,12.25,44
Naperville,263.69,5.57,62.94,1.13,1.52,2.37,62
Reading,226.97,11.14,51.5,0.69,0.81,1.43,43
Washington,323.77,15.42,52.93,3.07,6.66,12.38,44
Victorville,367.17,16.28,29.33,0.47,8.65,21.38,28
Homestead,198.6,0.27,70.81,0.1,2.58,6.9,86
Atascocita,367.17,17.14,38.27,2.89,15.26,19.12,49
Poinciana,223.64,3.38,77.25,0.57,2.48,3.94,105
Arvada,380.52,19.54,24.32,0.25,6.23,10.73,24
Kenner,287.06,14.4,27.54,5.01,5.48,7.59,23
Tracy,300.41,17.14,3.98,0.55,4.62,7.7,21
Trenton,363.83,24.68,55.08,6.32,9.21,14.07,46
Tuscaloosa,250.34,4.07,44.35,0.88,5.2,9.28,37
Palo Alto,417.23,45.24,5.68,2.44,11.22,15.18,56
Kansas City,253.68,4.28,62.94,1.22,1.19,1.63,62
Saint Cloud,360.49,27.42,45.06,3.4,6.11,8.36,38
Victoria,330.45,19.36,36.12,3.52,3.04,4.28,30
Rochester Hills,263.69,5.01,62.94,0.53,5.39,5.79,62
San Francisco,447.27,45.24,5.45,5.96,12.12,14.35,56
Waterloo,247.0,3.51,62.23,1.36,0.89,1.15,60
Rockville,323.77,16.11,52.21,3.01,6.86,12.25,44
Mission Viejo,567.44,26.05,3.58,1.12,15.24,23.39,49
Flagstaff,226.97,5.48,28.61,0.02,0.91,1.48,24
Tallahassee,230.31,1.21,52.21,0.15,2.25,5.22,44
Philadelphia,363.83,29.82,46.49,13.35,7.94,13.13,39
Victorville,367.17,16.28,29.33,0.47,8.65,21.38,28
Ontario,317.1,23.65,35.76,1.83,7.16,10.77,30
Saint Cloud,360.49,27.42,45.06,3.4,6.11,8.36,38
Palmdale,397.21,24.33,25.03,0.43,13.37,19.3,43
New Orleans,330.45,16.11,27.18,2.62,6.05,8.12,23
Reno,413.9,30.5,15.38,0.1,10.13,16.52,38
Saint Petersburg,660.9,48.67,0.01,91.55,11.95,16.44,76
Lowell,343.8,16.97,66.52,5.78,16.73,19.3,73
Rochester,240.33,4.71,80.11,1.8,4.63,5.22,112
Boise,357.15,15.08,31.11,0.17,10.18,15.97,33
Centennial,377.18,16.62,14.66,0.65,5.58,8.04,20
Cleveland,283.72,10.28,62.23,1.73,6.57,6.93,60
Rapid City,210.29,1.44,82.97,0.45,2.6,6.9,119
Palatine,243.66,2.51,69.38,0.45,0.61,1.17,82
Goodyear,357.15,13.71,14.84,0.37,3.5,9.9,17
Rancho Cucamonga,380.52,35.64,28.61,3.87,12.86,16.99,44
Davie,203.61,0.85,81.54,0.21,2.82,7.08,116
Kalamazoo,267.03,4.03,57.94,0.23,4.82,5.17,49
Missouri City,403.88,19.36,37.55,2.03,12.0,14.97,38
Murfreesboro,257.02,3.47,58.65,0.75,5.61,7.39,49
Flint,273.71,5.44,58.65,0.47,5.66,5.9,49
Winston-Salem,267.03,4.2,76.53,0.75,5.06,10.64,103
Concord,420.57,26.05,60.8,6.26,24.95,27.72,69
Hillsboro,390.53,21.25,2.86,1.54,12.79,16.74,41
Allen,377.18,30.16,22.71,4.47,13.68,16.51,44
Worcester,337.12,17.14,73.67,5.78,14.6,18.57,95
Suffolk,236.99,3.86,84.4,0.63,2.01,7.84,123
Dallas,330.45,19.36,32.19,3.07,12.9,15.56,41
Gilbert,494.0,25.02,11.62,0.95,8.83,15.36,31
Greensboro,270.37,6.17,61.51,0.72,5.16,11.1,57
New Bedford,270.37,3.77,87.26,4.83,14.08,18.21,130
Cicero,277.04,11.31,60.08,3.99,1.78,2.85,53
Aurora,250.34,2.96,66.52,0.57,1.27,1.86,73
Westminster,310.42,53.47,5.45,13.95,5.27,6.66,66
Saint Paul,387.19,24.33,31.83,6.56,5.37,6.92,30
Berkeley,353.81,25.36,17.52,5.25,6.51,8.23,31
Virginia Beach,233.65,2.79,82.97,0.69,2.39,8.42,119
Manteca,373.84,8.82,0.15,0.31,6.46,7.59,20
Nampa,514.03,27.42,3.84,0.36,22.5,34.37,64
Saint Louis,250.34,4.16,55.79,0.9,7.14,7.88,47
Reading,226.97,11.14,51.5,0.69,0.81,1.43,43
Arden-Arcade,574.11,23.31,0.32,1.06,11.81,16.82,38
Lake Forest,243.66,3.0,69.38,0.29,0.5,1.04,82
Seattle,694.28,41.81,0.09,2.33,16.63,24.33,52
Durham,273.71,7.54,60.08,0.98,4.51,9.23,53
Henderson,413.9,40.1,17.35,2.41,21.35,38.64,61
Simi Valley,243.66,4.28,31.11,0.28,5.16,7.26,26
Pompano Beach,216.96,4.71,85.12,0.84,3.09,7.82,125
Shreveport,233.65,6.68,52.21,2.74,4.59,5.66,44
Athens-Clarke County unified government,247.0,3.9,55.79,0.29,3.83,8.74,47
Westland,257.02,4.97,62.94,0.58,5.16,5.41,62
Thousand Oaks,340.46,17.48,16.45,1.59,9.79,13.41,31
Quincy,317.1,11.48,74.39,4.05,15.56,18.68,98
Lafayette,290.39,12.68,30.04,2.95,16.04,19.61,51
Ontario,317.1,23.65,35.76,1.83,7.16,10.77,30
Kansas City,253.68,4.28,62.94,1.22,1.19,1.63,62
San Tan Valley,287.06,8.4,26.11,0.05,3.87,10.69,22
Scottsdale,540.73,27.76,10.91,1.49,13.01,18.84,42
Rancho Cordova,574.11,23.31,0.32,1.06,11.81,16.82,38
Jurupa Valley,594.14,30.5,1.95,1.67,19.05,25.86,57
Clarksville,250.34,6.08,53.64,5.25,6.55,7.37,45
Greensboro,270.37,6.17,61.51,0.72,5.16,11.1,57
Lynn,367.17,19.54,62.23,5.31,17.93,21.46,60
Las Cruces,247.0,6.08,23.25,0.05,7.65,22.25,24
Salinas,250.34,5.36,57.22,0.25,2.1,2.87,48
Saint George,263.69,0.68,40.05,0.86,3.07,7.54,33
Davie,203.61,0.85,81.54,0.21,2.82,7.08,116
Ames,243.66,9.68,52.21,0.97,1.81,3.96,44
Richmond,333.79,16.62,31.11,0.86,5.97,10.21,26
Yuba City,287.06,6.26,9.84,0.11,4.26,4.92,13
Fishers,260.35,5.66,57.22,1.36,7.34,7.9,48
San Francisco,447.27,45.24,5.45,5.96,12.12,14.35,56
Oceanside,357.15,11.48,6.26,0.37,8.54,11.92,27
El Monte,387.19,33.59,11.98,1.62,7.61,16.66,41
Toms River,250.34,3.38,88.69,0.81,3.12,5.88,134
Renton,741.01,45.24,0.06,4.77,21.12,27.9,61
Carmichael,267.03,1.31,46.49,2.24,11.73,26.85,39
Fayetteville,236.99,5.14,37.55,0.74,5.19,7.13,31
Iowa City,250.34,2.96,60.8,0.56,0.58,0.83,55
San Ramon,203.61,2.06,57.22,0.07,0.71,1.44,48
Topeka,240.33,1.65,68.67,0.42,1.12,1.35,80
Glen Burnie,377.18,24.68,46.49,5.07,9.0,15.15,39
Minneapolis,310.42,11.14,41.49,1.83,3.1,4.13,35
Baltimore,337.12,20.39,54.36,3.61,7.46,13.26,46
Costa Mesa,907.9,48.67,2.55,3.28,33.06,40.78,85
Lawrence,247.0,2.38,66.52,2.59,1.44,1.75,73
Tucson,427.25,16.62,28.61,1.01,12.23,27.21,39
Miramar,210.29,1.86,79.39,0.4,3.12,7.89,110
Plano,377.18,30.16,22.71,4.47,13.68,16.51,44
Westminster,310.42,53.47,5.45,13.95,5.27,6.66,66
Town 'n' Country,230.31,2.91,73.67,0.93,3.21,5.48,95
Gastonia,280.38,5.48,50.07,2.5,6.95,12.56,42
Orlando,226.97,5.91,81.54,0.75,1.65,2.67,116
Oshkosh,240.33,1.46,68.67,0.33,0.5,0.67,80
Simi Valley,243.66,4.28,31.11,0.28,5.16,7.26,26
Skokie,257.02,7.54,65.8,3.87,1.0,1.86,71
Citrus Heights,310.42,13.54,3.49,0.17,2.89,7.43,16
Paterson,363.83,25.02,49.35,5.31,11.17,17.83,41
Bryan,240.33,2.38,55.08,0.4,6.65,7.19,46
Stockton,373.84,8.82,0.15,0.31,6.46,7.59,20
Norman,330.45,13.88,33.26,1.34,9.57,10.55,31
Independence,253.68,4.28,62.94,1.22,1.19,1.63,62
Rapid City,210.29,1.44,82.97,0.45,2.6,6.9,119
Brownsville,420.57,17.65,44.7,7.99,15.66,18.85,50
Toledo,317.1,18.51,17.17,0.19,7.13,10.4,23
Salt Lake City,640.87,57.58,8.05,5.36,17.59,24.25,71
San Tan Valley,287.06,8.4,26.11,0.05,3.87,10.69,22
Santa Maria,574.11,5.31,11.09,0.56,8.57,9.04,27
Lexington-Fayette  county,243.66,2.61,65.8,0.56,3.64,4.36,71
Columbia,233.65,1.56,67.23,0.12,2.44,6.73,75
Hoover,280.38,8.4,40.41,1.83,7.16,13.39,34
Deltona,213.62,1.21,82.97,0.14,1.3,2.2,119
Little Rock,236.99,3.77,49.35,0.8,5.74,6.62,41
El Monte,387.19,33.59,11.98,1.62,7.61,16.66,41
El Cajon,410.56,21.25,7.87,1.16,6.0,9.38,26
Sioux Falls,317.1,10.2,40.41,0.39,3.35,3.74,34
Durham,273.71,7.54,60.08,0.98,4.51,9.23,53
Pembroke Pines,203.61,0.85,81.54,0.21,2.82,7.08,116
Hoover,280.38,8.4,40.41,1.83,7.16,13.39,34
Gainesville,226.97,1.86,65.8,0.35,1.97,3.87,71
Albuquerque,263.69,4.28,22.17,0.1,3.56,16.33,18
Little Rock,236.99,3.77,49.35,0.8,5.74,6.62,41
Albany,413.9,18.17,47.92,6.91,22.42,25.69,64
Sugar Land,283.72,6.43,52.21,0.52,9.04,11.28,44
Oshkosh,240.33,1.46,68.67,0.33,0.5,0.67,80
Yuba City,287.06,6.26,9.84,0.11,4.26,4.92,13
Framingham,297.07,9.34,77.25,4.17,13.36,15.82,105
San Antonio,280.38,7.97,54.36,1.19,17.88,19.15,54
Fort Collins,267.03,7.97,36.48,0.18,1.98,3.06,30
Buena Park,594.14,33.93,3.71,2.62,17.04,22.87,53
Eau Claire,243.66,1.32,58.65,0.03,0.5,0.58,49
Fullerton,594.14,33.93,3.71,2.62,17.04,22.87,53
Turlock,373.84,8.82,0.2,0.46,5.68,8.2,18
North Richland Hills,303.75,9.77,43.63,0.63,18.29,20.5,55
Carlsbad,357.15,11.48,6.26,0.37,8.54,11.92,27
Citrus Heights,310.42,13.54,3.49,0.17,2.89,7.43,16
Philadelphia,363.83,29.82,46.49,13.35,7.94,13.13,39
Yuba City,287.06,6.26,9.84,0.11,4.26,4.92,13
Davie,203.61,0.85,81.54,0.21,2.82,7.08,116
New Rochelle,627.52,61.01,22.35,18.36,25.29,36.0,76
Murrieta,317.1,8.65,36.84,0.52,9.16,11.98,31
Cincinnati,260.35,11.31,54.36,7.57,5.48,5.95,46
Kansas City,253.68,4.28,62.94,1.22,1.19,1.63,62
East Los Angeles,387.19,33.59,11.98,1.62,7.61,16.66,41
Yuma,247.0,3.04,33.62,0.04,7.84,23.55,28
Bay,223.64,2.87,59.37,0.14,0.5,0.67,51
Murrieta,317.1,8.65,36.84,0.52,9.16,11.98,31
Paradise,560.76,39.07,5.36,2.98,24.07,42.06,67
Cape Coral,216.96,2.04,82.97,0.37,3.0,8.53,119
Indianapolis,267.03,9.94,50.78,2.24,6.45,7.12,43
Camden,363.83,29.82,46.49,13.35,7.94,13.13,39
Suffolk,236.99,3.86,84.4,0.63,2.01,7.84,123
Chula Vista,640.87,33.59,3.8,2.27,13.43,19.93,43
Nashua,330.45,17.48,72.24,6.68,15.24,18.04,91
Salt Lake City,640.87,57.58,8.05,5.36,17.59,24.25,71
Odessa,250.34,5.36,57.94,3.28,1.14,1.37,49
Waukegan,243.66,3.0,69.38,0.29,0.5,1.04,82
Redondo Beach,1148.22,64.43,1.88,7.75,40.18,57.19,99
Bay,223.64,2.87,59.37,0.14,0.5,0.67,51
Garland,387.19,31.19,21.64,5.01,13.77,17.04,44
Jacksonville,223.64,2.23,77.96,0.51,1.89,3.88,107
Fort Lauderdale,233.65,6.6,82.25,1.82,3.79,9.11,118
Cicero,277.04,11.31,60.08,3.99,1.78,2.85,53
Carmichael,267.03,1.31,46.49,2.24,11.73,26.85,39
Savannah,226.97,5.66,60.8,2.5,2.57,4.99,55
Glendale,600.82,47.3,3.93,3.4,17.58,33.98,59
Union City,417.23,45.24,5.68,2.44,11.22,15.18,56
Guaynabo,185.25,0.24,47.92,0.25,1.0,2.43,40
Milpitas,447.27,33.59,0.48,1.15,9.51,13.9,41
Kansas City,253.68,4.28,62.94,1.22,1.19,1.63,62
Davenport,240.33,2.55,65.09,0.44,0.5,0.66,69
Las Cruces,247.0,6.08,23.25,0.05,7.65,22.25,24
Spring Valley,403.88,19.36,37.55,2.03,12.0,14.97,38
Sioux City,270.37,4.5,49.35,0.21,1.48,1.67,41
Fargo,280.38,6.17,43.63,1.89,3.21,3.49,36
Ellicott City,337.12,20.39,54.36,3.61,7.46,13.26,46
Antioch,267.03,7.63,50.07,1.13,6.42,7.65,42
Marysville,333.79,16.97,23.25,0.13,3.6,4.87,21
Sioux City,270.37,4.5,49.35,0.21,1.48,1.67,41
Fontana,380.52,35.64,28.61,3.87,12.86,16.99,44
Kennewick,400.54,21.25,12.7,0.29,14.08,15.22,45
Waukegan,243.66,3.0,69.38,0.29,0.5,1.04,82
Eugene,423.91,24.68,2.33,1.49,17.79,20.08,54
Hollywood,600.82,47.3,3.93,3.4,17.58,33.98,59
Brentwood,480.65,23.31,0.6,0.54,11.94,13.41,38
Auburn,230.31,2.57,47.92,1.39,5.06,7.75,40
Walnut Creek,380.52,25.71,12.16,3.82,7.02,8.76,32
Pembroke Pines,203.61,0.85,81.54,0.21,2.82,7.08,116
San Mateo,487.33,37.36,0.18,1.77,11.33,16.68,46
Killeen,240.33,1.46,64.37,0.33,16.77,17.55,66
Cicero,277.04,11.31,60.08,3.99,1.78,2.85,53
Mount Vernon,243.66,5.01,58.65,1.55,5.4,5.94,49
Round Rock,250.34,3.38,55.79,0.63,19.69,20.87,58
Akron,260.35,6.08,62.94,0.79,5.49,6.01,62
Concord,420.57,26.05,60.8,6.26,24.95,27.72,69
Rio Rancho,201.94,1.32,32.19,0.08,2.93,15.17,27
San Bernardino,353.81,27.08,33.98,4.29,8.02,10.56,33
Evanston,257.02,7.54,65.8,3.87,1.0,1.86,71
Flagstaff,226.97,5.48,28.61,0.02,0.91,1.48,24
Knoxville,337.12,18.17,32.19,1.85,7.13,11.21,27
Davenport,240.33,2.55,65.09,0.44,0.5,0.66,69
Milwaukee,247.0,3.0,67.23,0.31,0.5,1.06,75
Wichita,257.02,2.74,63.66,0.76,3.4,4.91,64
South Bend,253.68,2.59,58.65,0.3,1.27,1.4,49
Livonia,267.03,7.63,62.94,1.03,5.27,5.81,62
Bloomington,247.0,4.54,56.51,1.61,6.98,7.52,47
Vacaville,280.38,7.63,47.92,0.12,4.4,4.93,40
Corona,594.14,30.5,1.95,1.67,19.05,25.86,57
West Jordan,640.87,57.58,8.05,5.36,17.59,24.25,71
Beaumont,270.37,21.76,12.7,3.67,22.8,24.47,64
Phoenix,720.98,34.27,6.53,1.82,17.42,26.3,54
Jonesboro,233.65,1.93,54.36,0.14,4.31,4.89,46
Springfield,270.37,3.26,52.93,4.23,6.65,8.48,44
Torrance,1148.22,64.43,1.88,7.75,40.18,57.19,99
Costa Mesa,907.9,48.67,2.55,3.28,33.06,40.78,85
Bay,223.64,2.87,59.37,0.14,0.5,0.67,51
Loveland,236.99,5.01,51.5,0.16,1.13,2.69,43
Buena Park,594.14,33.93,3.71,2.62,17.04,22.87,53
Pembroke Pines,203.61,0.85,81.54,0.21,2.82,7.08,116
McKinney,377.18,30.16,22.71,4.47,13.68,16.51,44
Temecula,313.76,12.17,25.03,0.38,7.37,9.65,23
Chandler,854.49,40.1,5.45,3.37,22.32,31.87,63
Columbia,233.65,1.56,67.23,0.12,2.44,6.73,75
New Bedford,270.37,3.77,87.26,4.83,14.08,18.21,130
Toledo,317.1,18.51,17.17,0.19,7.13,10.4,23
Midland,257.02,2.59,50.07,0.13,9.14,21.17,42
Avondale,357.15,13.71,14.84,0.37,3.5,9.9,17
Brooklyn Park,293.73,9.08,45.06,4.35,2.66,3.63,38
Antioch,267.03,7.63,50.07,1.13,6.42,7.65,42
Inglewood,1148.22,64.43,1.88,7.75,40.18,57.19,99
Macon,230.31,4.33,49.35,8.58,3.23,6.31,41
Columbia,233.65,1.56,67.23,0.12,2.44,6.73,75
Chicago,277.04,11.31,60.08,3.99,1.78,2.85,53
Boca Raton,216.96,4.71,85.12,0.84,3.09,7.82,125
Hartford,453.95,38.04,52.21,7.33,19.19,25.11,57
Overland Park,263.69,5.57,62.23,0.89,1.48,2.13,60
Oshkosh,240.33,1.46,68.67,0.33,0.5,0.67,80
Akron,260.35,6.08,62.94,0.79,5.49,6.01,62
Fort Myers,216.96,2.04,82.97,0.37,3.0,8.53,119
Santa Rosa,250.34,4.11,45.78,0.02,2.37,2.66,38
Ontario,317.1,23.65,35.76,1.83,7.16,10.77,30
Pasadena,387.19,33.59,11.98,1.62,7.61,16.66,41
Saint George,263.69,0.68,40.05,0.86,3.07,7.54,33
Indio,380.52,16.79,54.36,0.49,7.02,15.06,46
Farmington Hills,267.03,6.6,61.51,0.78,5.48,5.88,57
Baldwin Park,320.44,25.02,30.76,0.98,5.8,11.16,31
Bellevue,620.84,30.16,0.05,2.18,17.23,25.29,53
Gary,233.65,1.48,67.95,0.66,0.73,1.24,77
Dayton,267.03,9.17,53.64,2.41,6.05,6.62,45
Laguna Niguel,567.44,26.05,3.58,1.12,15.24,23.39,49
Kansas City,253.68,4.28,62.94,1.22,1.19,1.63,62
Syracuse,226.97,3.86,77.25,41.01,5.3,7.8,105
Frederick,253.68,3.98,65.8,2.0,6.18,9.63,71
Indianapolis,267.03,9.94,50.78,2.24,6.45,7.12,43
San Jose,627.52,52.09,0.22,2.09,13.98,18.78,65
Topeka,240.33,1.65,68.67,0.42,1.12,1.35,80
Arvada,380.52,19.54,24.32,0.25,6.23,10.73,24
High Point,263.69,6.6,75.82,1.04,4.06,9.3,102
Salt Lake City,640.87,57.58,8.05,5.36,17.59,24.25,71
